Rank,Guild Name,Realm,Raids Week,Language,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Link
749,Karazhan Schach Club,EU (DE)-Blackmoore,2,German,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/blackmoore/Karazhan+Schach+Club
749,Let us Cook,EU (DE)-Antonidas,2,German,True,False,True,True,False,False,False,https://www.wowprogress.com/guild/eu/antonidas/Let+us+Cook
751,PugChamp,EU-Draenor,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/draenor/PugChamp
773,Die Portsteinschwa..,EU (DE)-Blackrock,2,German,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/blackrock/Die+Portsteinschwalben
775,Return of the Watc..,EU-Runetotem,2,English,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/runetotem/Return+of+the+Watchers
776,Traube Minze,EU (DE)-Blackmoore,2,German,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/blackmoore/Traube+Minze
778,all gas no break,EU (DE)-Blackhand,2,German,False,True,False,True,False,False,True,https://www.wowprogress.com/guild/eu/blackhand/all+gas+no+break
779,Renegades,EU-Kor'gall,2,English,False,False,True,True,False,False,False,https://www.wowprogress.com/guild/eu/kor-gall/Renegades
812,Bad Alts,EU-Silvermoon,2,English,False,False,False,False,True,True,False,https://www.wowprogress.com/guild/eu/silvermoon/Bad+Alts
815,Amazing Stories [ Night Stories],EU (DE)-Blackmoore,2,German,False,False,False,False,True,True,False,https://www.wowprogress.com/team/eu/blackmoore/raid-Night+Stories
824,Xore,EU (DE)-Eredar,2,German,True,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/eredar/Xore
827,Mid Tier Crisis,EU-Argent Dawn,2,English,False,False,True,True,True,False,True,https://www.wowprogress.com/guild/eu/argent-dawn/Mid+Tier+Crisis
828,Beware of Yeti,EU-Draenor,2,English,True,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/draenor/Beware+of+Yeti
829,monkaPickle,EU-Draenor,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/draenor/monkaPickle
830,Mercy Killers,EU-Sylvanas,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/sylvanas/Mercy+Killers
833,eXsto,EU-Tarren Mill,2,English,True,False,False,False,False,False,True,https://www.wowprogress.com/guild/eu/tarren-mill/eXsto
835,Gargantuan Baguettes,EU-Tarren Mill,2,English,False,True,False,True,False,False,True,https://www.wowprogress.com/guild/eu/tarren-mill/Gargantuan+Baguettes
836,AVALØN,EU-Drak'thul,2,English,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/drak-thul/AVAL%C3%98N
838,Vertigo,EU-Sylvanas,2,English,False,True,False,False,False,False,True,https://www.wowprogress.com/guild/eu/sylvanas/Vertigo
840,Flare,EU-Twisting Nether,2,English,True,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/twisting-nether/Flare
841,Sleepîng Knîghts,EU (DE)-Antonidas,2,German,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/antonidas/Sleep%C3%AEng+Kn%C3%AEghts
853,Sordid,EU-Silvermoon,2,English,True,False,True,False,False,False,False,https://www.wowprogress.com/guild/eu/silvermoon/Sordid
854,Motion,EU-Ravencrest,2,English,True,False,False,True,False,False,False,https://www.wowprogress.com/guild/eu/ravencrest/Motion
857,Deception [ Green],EU-Silvermoon,2,English,True,False,False,True,False,False,False,https://www.wowprogress.com/team/eu/silvermoon/raid-Green
858,Disciples Reborn,EU-Stormscale,2,English,True,False,False,True,False,False,False,https://www.wowprogress.com/guild/eu/stormscale/Disciples+Reborn
865,Naphil,EU (DE)-Antonidas,2,German,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/antonidas/Naphil
867,Influenza,EU-Outland,2,English,True,True,True,True,False,False,False,https://www.wowprogress.com/guild/eu/outland/Influenza
896,Nàstrandir,EU (DE)-Blackhand,2,German,False,False,True,True,False,False,False,https://www.wowprogress.com/guild/eu/blackhand/N%C3%A0strandir
897,Zero Logic,EU-Kazzak,2,English,True,False,True,False,False,False,False,https://www.wowprogress.com/guild/eu/kazzak/Zero+Logic
897,Revived,EU (DE)-Blackhand,2,German,True,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/blackhand/Revived
899,Equanimity,EU-Kazzak,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/kazzak/Equanimity
900,Super Phun Thyme,EU (DE)-Blackhand,2,German,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/blackhand/Super+Phun+Thyme
903,Rise and Shine,EU-Tarren Mill,2,English,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/Rise+and+Shine
903,Overcharged,EU-Tarren Mill,2,English,False,False,True,True,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/Overcharged
903,Solstice,EU-Tarren Mill,2,English,True,False,True,True,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/Solstice
906,Erased,EU-Stormscale,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/stormscale/Erased
909,INSERTCOIN,EU-Ravencrest,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/ravencrest/INSERTCOIN
927,Tempest,EU-Ravencrest,2,English,False,True,False,True,False,False,False,https://www.wowprogress.com/guild/eu/ravencrest/Tempest
927,[Raid] MK Team 2,EU-Sylvanas,2,English,False,False,False,False,False,False,False,https://www.wowprogress.com/team/eu/sylvanas/raid-MK+Team+2
927,Mercy Killers [ Fire],EU-Sylvanas,2,English,True,False,False,True,False,False,True,https://www.wowprogress.com/team/eu/sylvanas/raid-Fire
930,Broilers,EU (DE)-Antonidas,2,German,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/antonidas/Broilers
931,Ancient Prophecies,EU-Twisting Nether,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/twisting-nether/Ancient+Prophecies
932,Laid Back,EU-Kazzak,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/kazzak/Laid+Back
932,Hypothetical,EU-Draenor,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/draenor/Hypothetical
936,Zero Gravity,EU (DE)-Alleria,2,German,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/alleria/Zero+Gravity
936,I N F I N I T Y,EU-Drak'thul,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/drak-thul/I+N+F+I+N+I+T+Y
939,Spirits Rising,EU (DE)-Blackmoore,2,German,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/blackmoore/Spirits+Rising
940,dritte art,EU (DE)-Antonidas,2,German,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/antonidas/dritte+art
942,Friendly Friends,EU-Kazzak,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/kazzak/Friendly+Friends
942,Invictus,EU-Draenor,2,English,True,False,False,True,False,False,False,https://www.wowprogress.com/guild/eu/draenor/Invictus
944,let him cook,EU-Ravencrest,2,German,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/ravencrest/let+him+cook
946,Radiant,EU-Kazzak,1,English,False,False,False,False,False,False,False,https://www.wowprogress.com/guild/eu/kazzak/Radiant
946,Toy Bagels,EU-Tarren Mill,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/tarren-mill/Toy+Bagels
948,Until The End,EU-Draenor,2,English,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/draenor/Until+The+End
948,Infinite Ruin,EU-Draenor,2,English,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/draenor/Infinite+Ruin
952,The Shining Dawn,EU-Quel'Thalas,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/quel-thalas/The+Shining+Dawn
954,Perdition,EU-Tarren Mill,2,English,True,False,False,True,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/Perdition
980,One Night Stand,EU-Ravencrest,1,English,False,False,False,False,False,True,False,https://www.wowprogress.com/guild/eu/ravencrest/One+Night+Stand
990,Reaperz,EU (DE)-Blackhand,2,German,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/blackhand/Reaperz
992,Redline Raiding,EU-Kazzak,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/kazzak/Redline+Raiding
996,Legacy,EU-Silvermoon,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/silvermoon/Legacy
997,Name in Progress,EU (DE)-Blackrock,2,German,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/blackrock/Name+in+Progress
998,Artemis,EU-Emerald Dream,2,English,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/emerald-dream/Artemis
998,fade,EU (DE)-Blackrock,2,German,True,False,False,True,False,False,False,https://www.wowprogress.com/guild/eu/blackrock/fade
998,Keystone Brickers,EU-Silvermoon,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/silvermoon/Keystone+Brickers
1001,Sealed,EU (DE)-Blackhand,2,German,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/blackhand/Sealed
1003,Fragments,EU-Outland,2,English,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/outland/Fragments
1004,improved,EU (DE)-Blackrock,2,German,False,True,True,False,False,False,True,https://www.wowprogress.com/guild/eu/blackrock/improved
1004,EinsZweiVier,EU (DE)-Thrall,2,German,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/thrall/EinsZweiVier
1007,Dragons,EU (DE)-Eredar,2,German,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/eredar/Dragons
